País;Mujeres;Hombres;Variable
Australia;23.5;20.5;Años esperados de vida
Austria;25.5;21.6;Años esperados de vida
Bélgica;25.2;22.2;Años esperados de vida
Canadá;24.0;20.2;Años esperados de vida
Chile;21.7;16.2;Años esperados de vida
Colombia;21.2;13.0;Años esperados de vida
Costa Rica;21.1;14.8;Años esperados de vida
Chequia;21.5;15.8;Años esperados de vida
Dinamarca;22.4;19.0;Años esperados de vida
Estonia;20.7;16.6;Años esperados de vida
Finlandia;23.2;19.9;Años esperados de vida
Francia;26.1;23.3;Años esperados de vida
Alemania;22.6;18.8;Años esperados de vida
Grecia;25.5;19.1;Años esperados de vida
Hungría;20.7;14.5;Años esperados de vida
Islandia;20.7;16.8;Años esperados de vida
Irlanda;21.8;18.2;Años esperados de vida
Israel;20.8;18.1;Años esperados de vida
Italia;25.7;21.7;Años esperados de vida
Japón;23.1;17.5;Años esperados de vida
Corea;21.5;18.4;Años esperados de vida
Letonia;20.5;16.6;Años esperados de vida
Lituania;19.2;14.0;Años esperados de vida
Luxemburgo;27.8;22.7;Años esperados de vida
México;18.1;14.9;Años esperados de vida
Países Bajos;22.5;19.2;Años esperados de vida
Nueva Zelanda;22.2;18.5;Años esperados de vida
Noruega;24.5;19.8;Años esperados de vida
Polonia;22.2;15.1;Años esperados de vida
Portugal;22.6;17.5;Años esperados de vida
República Eslovaca;20.2;15.7;Años esperados de vida
Eslovenia;26.2;20.4;Años esperados de vida
España;26.5;22.0;Años esperados de vida
Suecia;22.6;19.5;Años esperados de vida
Suiza;23.8;20.7;Años esperados de vida
Turquía;23.6;18.1;Años esperados de vida
Reino Unido;23.5;20.9;Años esperados de vida
Estados Unidos;20.6;18.0;Años esperados de vida
Australia;66.5;66.5;Edad de jubilación
Austria;60.0;65.0;Edad de jubilación
Bélgica;65.0;65.0;Edad de jubilación
Canadá;65.0;65.0;Edad de jubilación
Chile;65.0;65.0;Edad de jubilación
Colombia;57.0;62.0;Edad de jubilación
Costa Rica;60.0;62.0;Edad de jubilación
Chequia;63.8;63.8;Edad de jubilación
Dinamarca;67.0;67.0;Edad de jubilación
Estonia;64.3;64.3;Edad de jubilación
Finlandia;65.0;65.0;Edad de jubilación
Francia;64.8;64.8;Edad de jubilación
Alemania;65.8;65.8;Edad de jubilación
Grecia;62.0;62.0;Edad de jubilación
Hungría;62.0;65.0;Edad de jubilación
Islandia;67.0;67.0;Edad de jubilación
Irlanda;66.0;66.0;Edad de jubilación
Israel;62.0;67.0;Edad de jubilación
Italia;64.0;64.0;Edad de jubilación
Japón;65.0;65.0;Edad de jubilación
Corea;62.0;62.0;Edad de jubilación
Letonia;64.3;64.3;Edad de jubilación
Lituania;63.7;64.3;Edad de jubilación
Luxemburgo;62.0;62.0;Edad de jubilación
México;65.0;65.0;Edad de jubilación
Países Bajos;66.6;66.6;Edad de jubilación
Nueva Zelanda;65.0;65.0;Edad de jubilación
Noruega;67.0;67.0;Edad de jubilación
Polonia;60.0;65.0;Edad de jubilación
Portugal;65.6;65.6;Edad de jubilación
República Eslovaca;62.8;62.8;Edad de jubilación
Eslovenia;62.0;62.0;Edad de jubilación
España;65.0;65.0;Edad de jubilación
Suecia;65.0;65.0;Edad de jubilación
Suiza;64.0;65.0;Edad de jubilación
Turquía;49.0;52.0;Edad de jubilación
Reino Unido;66.0;66.0;Edad de jubilación
Estados Unidos;66.0;66.0;Edad de jubilación
